Tue Mar 10 12:36:41 2026    output.dat

         157658103 function calls (154630310 primitive calls) in 1796.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   245557    0.297    0.000    2.334    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/calc_trajectory_cost.py:734(calc_avg_dist_to_global_path)
   415788    0.384    0.000    2.313    0.000 <__array_function__ internals>:2(all)
  1424815    2.029    0.000    2.030    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    2.005    2.005 /home/yanjun/NewDisk/beliefplanning/planner/plannertools/scenario_handler.py:146(_initialize)
        1    0.000    0.000    1.987    1.987 /home/yanjun/NewDisk/beliefplanning/planner/plannertools/scenario_handler.py:320(_create_planner_agent_for_ego_vehicle)
        1    0.000    0.000    1.982    1.982 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/plannertools/frenetcreator.py:55(get_planner)
        1    0.000    0.000    1.982    1.982 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/frenet_planner.py:148(__init__)
      366    0.027    0.000    1.975    0.005 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:562(BF_traj)
        1    0.000    0.000    1.972    1.972 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/prediction/main.py:252(__init__)
   882487    0.796    0.000    1.971    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    1.952    1.952 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/torch/serialization.py:889(load)
        1    0.000    0.000    1.952    1.952 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/torch/serialization.py:1136(_legacy_load)
        1    0.000    0.000    1.952    1.952 {method 'load' of '_pickle.Unpickler' objects}
       34    0.000    0.000    1.951    0.057 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/torch/serialization.py:1258(persistent_load)
       28    0.000    0.000    1.950    0.070 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/torch/serialization.py:412(default_restore_location)
       28    0.000    0.000    1.950    0.070 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/torch/serialization.py:387(_deserialize)
       28    0.000    0.000    1.875    0.067 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/torch/serialization.py:335(_validate_device)
       30    0.000    0.000    1.863    0.062 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/torch/cuda/__init__.py:115(is_available)
       30    1.862    0.062    1.862    0.062 {built-in method torch._C._cuda_getDeviceCount}
   876400    1.210    0.000    1.849    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/shape_base.py:421(<listcomp>)
       61    0.001    0.000    1.739    0.029 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:450(__init__)
       61    0.001    0.000    1.734    0.028 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:553(update_backup)
   462600    0.465    0.000    1.649    0.000 {method 'min' of 'numpy.ndarray' objects}
   415788    0.407    0.000    1.556    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2337(all)
       61    0.000    0.000    1.426    0.023 /home/yanjun/NewDisk/beliefplanning/MPC_branch.py:442(solve)
    51400    0.275    0.000    1.426    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/polynomials.py:12(__init__)
       61    0.035    0.001    1.426    0.023 /home/yanjun/NewDisk/beliefplanning/MPC_branch.py:144(inittree)
   876400    0.814    0.000    1.417    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/risk_costs.py:265(<genexpr>)
   268222    0.207    0.000    1.325    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/commonroad_dc/collision/trajectory_queries/trajectory_queries.py:189(trajectory_preprocess_obb_sum)
   876400    1.161    0.000    1.320    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/risk_costs.py:264(<genexpr>)
     6649    0.057    0.000    1.316    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:497(dyn_linearization)
     3233    0.093    0.000    1.254    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:366(veh_col)
   876400    0.777    0.000    1.223    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/risk_costs.py:266(<genexpr>)
   462600    0.140    0.000    1.184    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/_methods.py:41(_amin)
   421529    0.562    0.000    1.177    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
    59560    0.054    0.000    1.161    0.000 <__array_function__ internals>:2(solve)
      488    0.016    0.000    1.128    0.002 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:264(propagate_backup)
   268222    1.118    0.000    1.118    0.000 {built-in method commonroad_dc.pycrcc.Util.trajectory_preprocess_obb_sum}
  6683057    1.057    0.000    1.057    0.000 /home/yanjun/NewDisk/beliefplanning/planner/utils/timers.py:97(__init__)
   876400    0.691    0.000    1.041    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/shape_base.py:349(_stack_dispatcher)
    59560    0.467    0.000    1.041    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/linalg/linalg.py:314(solve)
 15651402    0.948    0.000    0.948    0.000 {method 'append' of 'list' objects}
 13857354    0.911    0.000    0.911    0.000 {built-in method time.time}
  2409743    0.510    0.000    0.902    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/_asarray.py:86(asanyarray)
   876400    0.758    0.000    0.875    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/risk_costs.py:267(<genexpr>)
    49666    0.384    0.000    0.857    0.000 {built-in method casadi._casadi.times}
15288767/15288763    0.807    0.000    0.807    0.000 {built-in method builtins.len}
     2928    0.006    0.000    0.776    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:608(<lambda>)
     3111    0.031    0.000    0.705    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:315(lane_bdry_h)
   268222    0.651    0.000    0.651    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/validity_checks.py:261(<listcomp>)
   462600    0.595    0.000    0.595    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/risk_costs.py:188(<listcomp>)
   268222    0.360    0.000    0.584    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/validity_checks.py:471(max_risk_valid)
   292556    0.373    0.000    0.568    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:13292(shape)
   491114    0.438    0.000    0.547    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/_methods.py:59(_count_reduce_items)
  6928681    0.527    0.000    0.527    0.000 {method 'pop' of 'dict' objects}
   876400    0.515    0.000    0.515    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/shape_base.py:425(<setcomp>)
    51400    0.514    0.000    0.514    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/polynomials.py:57(calc_point)
     4026    0.050    0.000    0.497    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:13(dubin)
     4758    0.030    0.000    0.495    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:214(softmin)
    28674    0.007    0.000    0.491    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:9039(__mul__)
   462600    0.477    0.000    0.477    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/risk_costs.py:193(<listcomp>)
  1555946    0.310    0.000    0.474    0.000 {built-in method builtins.hasattr}
    27450    0.032    0.000    0.464    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:11020(__array__)
   876400    0.449    0.000    0.449    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/shape_base.py:433(<listcomp>)
    35380    0.206    0.000    0.438    0.000 {built-in method casadi._casadi.minus}
    20801    0.029    0.000    0.431    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:23357(__call__)
    27450    0.022    0.000    0.425    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:11045(__array_custom__)
    51400    0.419    0.000    0.419    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/polynomials.py:78(calc_first_derivative)
    27458    0.008    0.000    0.404    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:10931(full)
    20801    0.007    0.000    0.396    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:19850(call)
    27458    0.050    0.000    0.396    0.000 {built-in method casadi._casadi.DM_full}
    32452    0.009    0.000    0.395    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:9037(__sub__)
    20801    0.242    0.000    0.389    0.000 {built-in method casadi._casadi.Function_call}
    20992    0.005    0.000    0.379    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:9040(__rmul__)
    50460    0.045    0.000    0.357    0.000 <__array_function__ internals>:2(diff)
   462600    0.357    0.000    0.357    0.000 /home/yanjun/NewDisk/beliefplanning/risk_assessment/harm_estimation.py:358(get_model)
   213134    0.132    0.000    0.355    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:11689(<lambda>)
   291580    0.186    0.000    0.354    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:11693(<lambda>)
   880060    0.223    0.000    0.352    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/shape_base.py:208(_arrays_for_stack_dispatcher)
     9260    0.030    0.000    0.345    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/commonroad_helper_functions/utils/cubicspline.py:26(calc_position)
    21114    0.138    0.000    0.337    0.000 {built-in method casadi._casadi.exp}
   316691    0.198    0.000    0.335    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:73(_swig_setattr)
   138226    0.035    0.000    0.316    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:179(DM_from_csc)
    18520    0.120    0.000    0.314    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/scipy/interpolate/interpolate.py:868(__call__)
    51400    0.313    0.000    0.313    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/polynomials.py:105(calc_second_derivative)
    27458    0.080    0.000    0.300    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:11059(toarray)
    58316    0.059    0.000    0.285    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:13303(__getitem__)
    59560    0.208    0.000    0.283    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/linalg/linalg.py:135(_commonType)
    50460    0.220    0.000    0.255    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/lib/function_base.py:1152(diff)
     8160    0.038    0.000    0.250    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/polynomials.py:149(__init__)
   100170    0.145    0.000    0.246    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/numerictypes.py:360(issubdtype)
    12444    0.028    0.000    0.235    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:13352(__array_ufunc__)
  1418726    0.231    0.000    0.231    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
2311129/2310921    0.221    0.000    0.222    0.000 {built-in method builtins.isinstance}
    58316    0.017    0.000    0.221    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:11742(get)
      980    0.009    0.000    0.220    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:144(backup_brake)
   347716    0.188    0.000    0.206    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:77(_swig_getattr)
   247294    0.138    0.000    0.206    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:134(DM_from_array)
    51400    0.205    0.000    0.205    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/polynomials.py:130(calc_third_derivative)
    58316    0.108    0.000    0.204    0.000 {built-in method casadi._casadi.SX_get}
    12452    0.003    0.000    0.201    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:9083(exp)
   106213    0.085    0.000    0.194    0.000 <__array_function__ internals>:2(ndim)
    13712    0.162    0.000    0.187    0.000 {method 'sort' of 'list' objects}
   146880    0.184    0.000    0.184    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/lib/function_base.py:797(_gradient_dispatcher)
   927204    0.181    0.000    0.182    0.000 {built-in method builtins.min}
    48330    0.054    0.000    0.175    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/numeric.py:144(ones)
   102337    0.064    0.000    0.174    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:9255(<lambda>)
    10370    0.003    0.000    0.174    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:9035(__add__)
    10370    0.072    0.000    0.171    0.000 {built-in method casadi._casadi.plus}
   119120    0.106    0.000    0.168    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/linalg/linalg.py:107(_makearray)
      976    0.002    0.000    0.164    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:601(<lambda>)
      976    0.012    0.000    0.156    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:183(backup_lc)
      488    0.000    0.000    0.150    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:36734(jacobian)
      488    0.144    0.000    0.150    0.000 {built-in method casadi._casadi.jacobian}
     8662    0.002    0.000    0.147    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:34413(sum1)
      980    0.008    0.000    0.145    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:241(softmax)
     8662    0.063    0.000    0.144    0.000 {built-in method casadi._casadi.sum1}
    13298    0.004    0.000    0.143    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:9031(__matmul__)
     8662    0.002    0.000    0.142    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:35117(exp)
    13298    0.084    0.000    0.138    0.000 {built-in method casadi._casadi.mtimes}
   316691    0.137    0.000    0.137    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:54(_swig_setattr_nondynamic)
    40626    0.044    0.000    0.137    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:13315(__setitem__)
     1571    0.008    0.000    0.137    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/frenet_functions.py:1336(get_v_list)
   421529    0.131    0.000    0.131    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
      124    0.001    0.000    0.130    0.001 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/commonroad_helper_functions/utils/cubicspline.py:74(get_min_arc_length)
  1581433    0.128    0.000    0.128    0.000 {built-in method builtins.issubclass}
   882487    0.127    0.000    0.127    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/multiarray.py:143(concatenate)
     7564    0.002    0.000    0.126    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:9043(__truediv__)
      124    0.002    0.000    0.125    0.001 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/scipy/optimize/_minimize.py:44(minimize)
    18520    0.115    0.000    0.125    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/scipy/interpolate/interpolate.py:981(_evaluate)
    49448    0.045    0.000    0.124    0.000 {method 'all' of 'numpy.ndarray' objects}
     7564    0.053    0.000    0.124    0.000 {built-in method casadi._casadi.rdivide}
      124    0.009    0.000    0.121    0.001 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/scipy/optimize/lbfgsb.py:210(_minimize_lbfgsb)
    51888    0.051    0.000    0.114    0.000 <__array_function__ internals>:2(where)
   327153    0.114    0.000    0.114    0.000 {built-in method builtins.abs}
      492    0.001    0.000    0.111    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/frenet_planner.py:387(<lambda>)
      488    0.001    0.000    0.110    0.000 /home/yanjun/NewDisk/beliefplanning/Highway_env_branch.py:258(<lambda>)
   268224    0.110    0.000    0.110    0.000 {built-in method builtins.sum}
       62    0.000    0.000    0.106    0.002 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/agent_sim/agent.py:196(update_leader)
       62    0.000    0.000    0.106    0.002 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/agent_sim/agent.py:341(__get_leader_commonroad)
       62    0.001    0.000    0.105    0.002 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/commonroad_helper_functions/spacial.py:88(get_leader_on_lanelet)
     1693    0.003    0.000    0.105    0.000 <__array_function__ internals>:2(linspace)
   292556    0.065    0.000    0.103    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:5917(size1)
    27458    0.007    0.000    0.101    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:10904(T)
  1073292    0.100    0.000    0.100    0.000 {method 'keys' of 'dict' objects}
     6100    0.002    0.000    0.099    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:34753(fabs)
    27702    0.051    0.000    0.099    0.000 {built-in method casadi._casadi.transpose}
       62    0.000    0.000    0.098    0.002 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/agent_sim/agent.py:207(update_follower)
       62    0.000    0.000    0.098    0.002 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/agent_sim/agent.py:355(__get_follower_commonroad)
       62    0.001    0.000    0.097    0.002 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/commonroad_helper_functions/spacial.py:199(get_follower_on_lanelet)
     6100    0.040    0.000    0.097    0.000 {built-in method casadi._casadi.fabs}
   200340    0.071    0.000    0.095    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/numerictypes.py:286(issubclass_)
     1693    0.040    0.000    0.094    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/function_base.py:23(linspace)
   292556    0.061    0.000    0.092    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:5967(size2)
    40626    0.014    0.000    0.090    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:11762(set)
     2192    0.012    0.000    0.089    0.000 /home/yanjun/NewDisk/beliefplanning/highway_branch_dyn.py:94(backup_maintain)
    15128    0.034    0.000    0.086    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:13412(__init__)
     3908    0.005    0.000    0.085    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:511(vertcat)
    48818    0.044    0.000    0.085    0.000 <__array_function__ internals>:2(copyto)
     3908    0.001    0.000    0.080    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/casadi/casadi.py:33672(_vertcat)
    49448    0.014    0.000    0.080    0.000 /home/yanjun/NewDisk/beliefplanning/.venv38/lib/python3.8/site-packages/numpy/core/_methods.py:56(_all)
      488    0.001    0.000    0.079    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/frenet_planner.py:388(<lambda>)
     8160    0.079    0.000    0.079    0.000 /home/yanjun/NewDisk/beliefplanning/planner/Frenet/utils/polynomials.py:179(calc_point)
     3908    0.041    0.000    0.079    0.000 {built-in method casadi._casadi._vertcat}
